zip,city,lat,long
42210,bowling green,37.206633,-86.252409
,,,
42411,western KY,37.198292,-88.010813
,,,
40049,lexington,37.663524,-85.395025
,,,
70549,lake charles,30.069149,-92.8047
,,,
70582,lafayette,30.161555,-91.783868
,,,
95441,mendocino county,38.731694,-122.906767
,,,
94574,sacramento,38.542448,-122.419923
,,,
90621,orange county,33.874224,-117.993368
,,,
95485,mendocino county,39.225478,-122.922912
,,,
93664,fresno,37.129364,-119.219563
,,,
37338,chattanooga,35.429787,-85.209519
,,,
37374,chattanooga,35.168804,-85.646536
,,,
76597,waco,31.486416,-97.706884
,,,
37132,nashville,35.849273,-86.364315
,,,
37246,nashville,36.159857,-86.791447
,,,
75752,tyler / east TX,32.244008,-95.807608
,,,
78076,laredo,26.930929,-99.162765
,,,
79781,odessa / midland,30.596998,-101.78453
,,,
78653,austin,30.339696,-97.523512
,,,
77880,college station,30.286936,-96.189365
,,,
75779,tyler / east TX,31.863226,-95.484612
,,,
78014,laredo,28.371399,-99.135335
,,,
76305,wichita falls,34.006193,-98.387687
,,,
75652,tyler / east TX,32.239409,-94.728328
,,,
77575,beaumont / port arthur,30.075658,-94.733441
,,,
76801,abilene,31.748303,-99.032891
,,,
78058,san antonio,30.095115,-99.628211
,,,
76877,killeen / temple / ft hood,31.157097,-98.763988
,,,
78881,san antonio,29.38367,-99.529697
,,,
75844,deep east texas,31.513801,-95.437616
,,,
77954,victoria,29.097035,-97.282413
,,,
78620,austin,30.224136,-98.134814
,,,
79731,odessa / midland,31.422796,-102.487774
,,,
76148,dallas / fort worth,32.868421,-97.252132
,,,
75929,deep east texas,31.245162,-94.175514
,,,
75831,college station,31.473667,-96.009365
,,,
79081,southwest KS,36.24162,-101.218409
,,,
76676,waco,31.863748,-96.951488
,,,
24153,roanoke,37.302506,-80.114325
,,,
84648,provo / orem,39.685805,-111.864491
,,,
84751,st george,38.383423,-112.927663
,,,
5056,glens falls,43.508851,-72.693755
,,,
5079,new hampshire,43.956765,-72.326539
,,,
5405,plattsburgh-adirondacks,44.473735,-73.19561
,,,
22514,fredericksburg,38.008001,-77.32938
,,,
24483,lynchburg,37.812333,-79.230553
,,,
24013,roanoke,37.266503,-79.923095
,,,
22845,harrisonburg,38.786332,-78.8164
,,,
17885,state college,40.866345,-77.314017
,,,
98045,seattle-tacoma,47.388327,-121.606221
,,,
99203,spokane / coeur d'alene,47.628641,-117.402997
,,,
26562,morgantown,39.647266,-80.460604
,,,
26763,western maryland,39.473037,-78.699175
,,,
15027,pittsburgh,40.666338,-80.240179
,,,
54143,green bay,45.076169,-87.698833
,,,
97838,kennewick-pasco-richland,45.853004,-119.287265
,,,
36766,montgomery,31.955121,-87.086691
,,,
35650,decatur,34.447233,-87.308593
,,,
36784,meridian,31.926927,-87.787887
,,,
35579,tuscaloosa,33.636267,-87.360324
,,,
36268,anniston,33.494798,-85.929452
,,,
99833,,56.926675,-133.120372
,,,
99701,,67.094545,-149.336012
,,,
99654,anchorage / mat-su,61.449113,-149.900744
,,,
86520,farmington,36.109913,-109.935612
,,,
86326,sedona,34.700031,-112.023634
,,,
85924,show low,34.566622,-109.672357
,,,
29670,greenville / upstate,34.643979,-82.723237
,,,
57346,pierre / central SD,44.240731,-99.600069
,,,
37324,chattanooga,35.239754,-85.987165
,,,
57236,northeast SD,44.985548,-97.585622
,,,
37377,chattanooga,35.204919,-85.334972
,,,
37315,chattanooga,35.048266,-85.05155
,,,
37725,knoxville,35.996089,-83.399118
,,,
38029,memphis,35.238741,-89.821895
,,,
38047,jackson,36.090531,-89.5034
,,,
37770,knoxville,36.153311,-84.663293
,,,
70772,baton rouge,30.436961,-91.468653
,,,
70128,new orleans,30.050846,-89.956039
,,,
70648,lake charles,30.505073,-92.889361
,,,
4450,maine,44.916049,-68.927991
,,,
4472,maine,44.57632,-68.669915
,,,
33432,broward county,26.343902,-80.082735
,,,
83823,pullman / moscow,46.820935,-116.540923
,,,
46327,chicago,41.62787,-87.498701
,,,
61112,rockford,42.241981,-88.975184
,,,
4851,maine,43.87711,-68.86868
,,,
60958,lafayette / west lafayette,41.064833,-87.591359
,,,
46799,fort wayne,40.911504,-85.285755
,,,
20818,washington,38.973445,-77.162497
,,,
50314,des moines,41.604964,-93.6312
,,,
70517,lafayette,30.298246,-91.83357
,,,
40383,lexington,38.006622,-84.739332
,,,
49878,upper peninsula,45.945698,-86.860412
,,,
4739,maine,46.995906,-68.672927
,,,
38844,tuscaloosa,33.838614,-88.255262
,,,
63775,southeast missouri,37.711324,-89.877614
,,,
1340,western massachusetts,42.694731,-72.710956
,,,
49248,toledo,41.756424,-84.011181
,,,
2343,boston,42.140244,-70.997347
,,,
49780,northern michigan,46.21306,-84.728545
,,,
7720,jersey shore,40.201604,-74.012056
,,,
87830,show low,33.727127,-108.744042
,,,
49722,northern michigan,45.427456,-84.862324
,,,
27053,winston-salem,36.474276,-80.34785
,,,
65802,springfield,37.20745,-93.354612
,,,
65742,springfield,37.125343,-93.088984
,,,
58801,eastern montana,48.21789,-103.763084
,,,
7079,new york city,40.748811,-74.261512
,,,
7870,lehigh valley,40.80398,-74.819651
,,,
3447,worcester / central MA,42.753205,-72.153028
,,,
7723,jersey shore,40.249701,-73.997458
,,,
2873,eastern CT,41.533083,-71.780518
,,,
57754,rapid city / west SD,44.255434,-103.887569
,,,
10605,hudson valley,41.010525,-73.745125
,,,
37738,knoxville,35.670251,-83.474881
,,,
11207,new york city,40.670747,-73.894209
,,,
37620,tri-cities,36.549613,-82.09404
,,,
79346,lubbock,33.648086,-102.824958
,,,
75488,texoma,33.778767,-95.996778
,,,
5488,plattsburgh-adirondacks,44.921329,-73.125393
,,,
57641,bismarck,45.868089,-101.297372
,,,
24605,southwest VA,37.254178,-81.371211
,,,
23310,hampton roads,37.258993,-75.963657
,,,
24426,southern WV,37.763523,-80.084876
,,,
98422,seattle-tacoma,47.290368,-122.392395
,,,
99114,spokane / coeur d'alene,48.655198,-117.735834
,,,
25514,huntington-ashland,38.10026,-82.528704
,,,
28533,jacksonville,34.902869,-76.901473
,,,
28032,charlotte,35.233033,-81.079513
,,,
45142,cincinnati,39.204555,-83.810822
,,,
58368,north dakota,48.260871,-100.05322
,,,
58622,eastern montana,46.894005,-103.263285
,,,
58007,fargo / moorhead,47.024361,-97.468653
,,,
43467,lima / findlay,41.243203,-83.483841
,,,
43008,zanesville / cambridge,39.93389,-82.480911
,,,
44615,akron / canton,40.564539,-81.074849
,,,
45745,parkersburg-marietta,39.606169,-81.329638
,,,
44682,tuscarawas co,40.397262,-81.405289
,,,
44507,youngstown,41.074229,-80.655251
,,,
43142,chillicothe,39.593715,-83.587259
,,,
43736,zanesville / cambridge,40.061242,-81.237909
,,,
43750,zanesville / cambridge,39.996867,-81.513191
,,,
44011,cleveland,41.4451,-82.005109
,,,
74016,tulsa,36.545156,-95.45126
,,,
74003,tulsa,36.728272,-96.067573
,,,
74464,tulsa,35.927971,-94.982454
,,,
73441,texoma,33.90447,-97.430574
,,,
97525,medford-ashland,42.450689,-123.060929
,,,
97064,portland,45.859087,-123.235518
,,,
97355,corvallis/albany,44.532241,-122.821044
,,,
97434,eugene,43.621289,-122.70322
,,,
16617,altoona-johnstown,40.607302,-78.322633
,,,
97886,kennewick-pasco-richland,45.802308,-118.27241
,,,
16340,chautauqua,41.802378,-79.417669
,,,
17097,harrisburg,40.580098,-76.677428
,,,
15557,western maryland,39.927663,-79.218371
,,,
15420,morgantown,39.960141,-79.865229
,,,
16652,state college,40.516022,-77.950096
,,,
19559,reading,40.495223,-76.182401
,,,
18430,scranton / wilkes-barre,41.756453,-75.472457
,,,
15301,northern panhandle,40.153494,-80.253464
,,,
17965,reading,40.698615,-76.165281
,,,
15901,altoona-johnstown,40.328742,-78.914292
,,,
17829,williamsport,40.900549,-77.155804
,,,
19564,reading,40.518731,-75.87831
,,,
15077,pittsburgh,40.625131,-80.415891
,,,
17920,williamsport,40.819642,-76.326909
,,,
17822,williamsport,40.968016,-76.605142
,,,
19107,philadelphia,39.951735,-75.158654
,,,
2876,rhode island,41.994278,-71.58549
,,,
29646,augusta,34.136053,-82.14847
,,,
29003,columbia,33.241221,-81.023815
,,,
29014,columbia,34.523382,-81.114513
,,,
29135,columbia,33.701219,-80.757171
,,,
10456,new york city,40.829881,-73.90812
,,,
13343,watertown,43.751239,-75.3115
,,,
14456,finger lakes,42.847695,-76.998972
,,,
11417,new york city,40.676446,-73.844443
,,,
13440,utica-rome-oneida,43.215771,-75.461779
,,,
13856,oneonta,42.171041,-75.183316
,,,
11104,new york city,40.744634,-73.920201
,,,
10024,new york city,40.798452,-73.974428
,,,
12456,catskills,42.032705,-73.997133
,,,
10535,hudson valley,41.335169,-73.793919
,,,
11212,new york city,40.662936,-73.913029
,,,
11694,new york city,40.57827,-73.844762
,,,
11415,new york city,40.707917,-73.828212
,,,
28777,boone,35.904431,-82.068534
,,,
27827,eastern NC,35.696636,-77.513239
,,,
27891,eastern NC,36.097735,-77.742789
,,,
28465,wilmington,33.912317,-78.102548
,,,
